Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes,Party,Precinct Name
426,249,City Of Boulder Council Candidates,Mary Young,66,,2181007800
426,249,City Of Boulder Council Candidates,John Gerstle,58,,2181007800
426,249,City Of Boulder Council Candidates,Matthew Appelbaum,83,,2181007800
426,249,City Of Boulder Council Candidates,Kevin Hotaling,53,,2181007800
426,249,City Of Boulder Council Candidates,Macon Cowles,52,,2181007800
426,249,City Of Boulder Council Candidates,Jonathan Dings,25,,2181007800
426,249,City Of Boulder Council Candidates,Ed Byrne,84,,2181007800
426,249,City Of Boulder Council Candidates,Micah Parkin,42,,2181007800
426,249,City Of Boulder Council Candidates,Greatful Fred Smith,16,,2181007800
426,249,City Of Boulder Council Candidates,Andrew Shoemaker,99,,2181007800
426,249,City Of Boulder Council Candidates,Sam Weaver,69,,2181007800
323,180,City Of Boulder Council Candidates,Mary Young,68,,2181007801
323,180,City Of Boulder Council Candidates,John Gerstle,33,,2181007801
323,180,City Of Boulder Council Candidates,Matthew Appelbaum,65,,2181007801
323,180,City Of Boulder Council Candidates,Kevin Hotaling,36,,2181007801
323,180,City Of Boulder Council Candidates,Macon Cowles,52,,2181007801
323,180,City Of Boulder Council Candidates,Jonathan Dings,27,,2181007801
323,180,City Of Boulder Council Candidates,Ed Byrne,67,,2181007801
323,180,City Of Boulder Council Candidates,Micah Parkin,54,,2181007801
323,180,City Of Boulder Council Candidates,Greatful Fred Smith,15,,2181007801
323,180,City Of Boulder Council Candidates,Andrew Shoemaker,68,,2181007801
323,180,City Of Boulder Council Candidates,Sam Weaver,67,,2181007801
220,117,City Of Boulder Council Candidates,Mary Young,59,,2181007802
220,117,City Of Boulder Council Candidates,John Gerstle,24,,2181007802
220,117,City Of Boulder Council Candidates,Matthew Appelbaum,61,,2181007802
220,117,City Of Boulder Council Candidates,Kevin Hotaling,9,,2181007802
220,117,City Of Boulder Council Candidates,Macon Cowles,50,,2181007802
220,117,City Of Boulder Council Candidates,Jonathan Dings,11,,2181007802
220,117,City Of Boulder Council Candidates,Ed Byrne,16,,2181007802
220,117,City Of Boulder Council Candidates,Micah Parkin,53,,2181007802
220,117,City Of Boulder Council Candidates,Greatful Fred Smith,11,,2181007802
220,117,City Of Boulder Council Candidates,Andrew Shoemaker,28,,2181007802
220,117,City Of Boulder Council Candidates,Sam Weaver,52,,2181007802
331,212,City Of Boulder Council Candidates,Mary Young,87,,2181007804
331,212,City Of Boulder Council Candidates,John Gerstle,42,,2181007804
331,212,City Of Boulder Council Candidates,Matthew Appelbaum,106,,2181007804
331,212,City Of Boulder Council Candidates,Kevin Hotaling,50,,2181007804
331,212,City Of Boulder Council Candidates,Macon Cowles,85,,2181007804
331,212,City Of Boulder Council Candidates,Jonathan Dings,32,,2181007804
331,212,City Of Boulder Council Candidates,Ed Byrne,71,,2181007804
331,212,City Of Boulder Council Candidates,Micah Parkin,65,,2181007804
331,212,City Of Boulder Council Candidates,Greatful Fred Smith,12,,2181007804
331,212,City Of Boulder Council Candidates,Andrew Shoemaker,94,,2181007804
331,212,City Of Boulder Council Candidates,Sam Weaver,106,,2181007804
1007,522,City Of Boulder Council Candidates,Mary Young,236,,2181007806
1007,522,City Of Boulder Council Candidates,John Gerstle,115,,2181007806
1007,522,City Of Boulder Council Candidates,Matthew Appelbaum,243,,2181007806
1007,522,City Of Boulder Council Candidates,Kevin Hotaling,92,,2181007806
1007,522,City Of Boulder Council Candidates,Macon Cowles,189,,2181007806
1007,522,City Of Boulder Council Candidates,Jonathan Dings,66,,2181007806
1007,522,City Of Boulder Council Candidates,Ed Byrne,164,,2181007806
1007,522,City Of Boulder Council Candidates,Micah Parkin,186,,2181007806
1007,522,City Of Boulder Council Candidates,Greatful Fred Smith,29,,2181007806
1007,522,City Of Boulder Council Candidates,Andrew Shoemaker,228,,2181007806
1007,522,City Of Boulder Council Candidates,Sam Weaver,243,,2181007806
1043,646,City Of Boulder Council Candidates,Mary Young,316,,2181007807
1043,646,City Of Boulder Council Candidates,John Gerstle,179,,2181007807
1043,646,City Of Boulder Council Candidates,Matthew Appelbaum,313,,2181007807
1043,646,City Of Boulder Council Candidates,Kevin Hotaling,86,,2181007807
1043,646,City Of Boulder Council Candidates,Macon Cowles,283,,2181007807
1043,646,City Of Boulder Council Candidates,Jonathan Dings,68,,2181007807
1043,646,City Of Boulder Council Candidates,Ed Byrne,286,,2181007807
1043,646,City Of Boulder Council Candidates,Micah Parkin,245,,2181007807
1043,646,City Of Boulder Council Candidates,Greatful Fred Smith,25,,2181007807
1043,646,City Of Boulder Council Candidates,Andrew Shoemaker,281,,2181007807
1043,646,City Of Boulder Council Candidates,Sam Weaver,310,,2181007807
1597,807,City Of Boulder Council Candidates,Mary Young,459,,2181007808
1597,807,City Of Boulder Council Candidates,John Gerstle,165,,2181007808
1597,807,City Of Boulder Council Candidates,Matthew Appelbaum,393,,2181007808
1597,807,City Of Boulder Council Candidates,Kevin Hotaling,89,,2181007808
1597,807,City Of Boulder Council Candidates,Macon Cowles,354,,2181007808
1597,807,City Of Boulder Council Candidates,Jonathan Dings,83,,2181007808
1597,807,City Of Boulder Council Candidates,Ed Byrne,181,,2181007808
1597,807,City Of Boulder Council Candidates,Micah Parkin,306,,2181007808
1597,807,City Of Boulder Council Candidates,Greatful Fred Smith,73,,2181007808
1597,807,City Of Boulder Council Candidates,Andrew Shoemaker,336,,2181007808
1597,807,City Of Boulder Council Candidates,Sam Weaver,368,,2181007808
997,617,City Of Boulder Council Candidates,Mary Young,297,,2181007809
997,617,City Of Boulder Council Candidates,John Gerstle,133,,2181007809
997,617,City Of Boulder Council Candidates,Matthew Appelbaum,288,,2181007809
997,617,City Of Boulder Council Candidates,Kevin Hotaling,83,,2181007809
997,617,City Of Boulder Council Candidates,Macon Cowles,263,,2181007809
997,617,City Of Boulder Council Candidates,Jonathan Dings,80,,2181007809
997,617,City Of Boulder Council Candidates,Ed Byrne,209,,2181007809
997,617,City Of Boulder Council Candidates,Micah Parkin,249,,2181007809
997,617,City Of Boulder Council Candidates,Greatful Fred Smith,40,,2181007809
997,617,City Of Boulder Council Candidates,Andrew Shoemaker,253,,2181007809
997,617,City Of Boulder Council Candidates,Sam Weaver,322,,2181007809
873,540,City Of Boulder Council Candidates,Mary Young,259,,2181007810
873,540,City Of Boulder Council Candidates,John Gerstle,145,,2181007810
873,540,City Of Boulder Council Candidates,Matthew Appelbaum,255,,2181007810
873,540,City Of Boulder Council Candidates,Kevin Hotaling,62,,2181007810
873,540,City Of Boulder Council Candidates,Macon Cowles,203,,2181007810
873,540,City Of Boulder Council Candidates,Jonathan Dings,77,,2181007810
873,540,City Of Boulder Council Candidates,Ed Byrne,179,,2181007810
873,540,City Of Boulder Council Candidates,Micah Parkin,167,,2181007810
873,540,City Of Boulder Council Candidates,Greatful Fred Smith,33,,2181007810
873,540,City Of Boulder Council Candidates,Andrew Shoemaker,202,,2181007810
873,540,City Of Boulder Council Candidates,Sam Weaver,226,,2181007810
625,405,City Of Boulder Council Candidates,Mary Young,162,,2181007811
625,405,City Of Boulder Council Candidates,John Gerstle,100,,2181007811
625,405,City Of Boulder Council Candidates,Matthew Appelbaum,165,,2181007811
625,405,City Of Boulder Council Candidates,Kevin Hotaling,78,,2181007811
625,405,City Of Boulder Council Candidates,Macon Cowles,133,,2181007811
625,405,City Of Boulder Council Candidates,Jonathan Dings,49,,2181007811
625,405,City Of Boulder Council Candidates,Ed Byrne,129,,2181007811
625,405,City Of Boulder Council Candidates,Micah Parkin,102,,2181007811
625,405,City Of Boulder Council Candidates,Greatful Fred Smith,21,,2181007811
625,405,City Of Boulder Council Candidates,Andrew Shoemaker,148,,2181007811
625,405,City Of Boulder Council Candidates,Sam Weaver,153,,2181007811
530,295,City Of Boulder Council Candidates,Mary Young,119,,2181007812
530,295,City Of Boulder Council Candidates,John Gerstle,55,,2181007812
530,295,City Of Boulder Council Candidates,Matthew Appelbaum,123,,2181007812
530,295,City Of Boulder Council Candidates,Kevin Hotaling,54,,2181007812
530,295,City Of Boulder Council Candidates,Macon Cowles,100,,2181007812
530,295,City Of Boulder Council Candidates,Jonathan Dings,37,,2181007812
530,295,City Of Boulder Council Candidates,Ed Byrne,110,,2181007812
530,295,City Of Boulder Council Candidates,Micah Parkin,79,,2181007812
530,295,City Of Boulder Council Candidates,Greatful Fred Smith,20,,2181007812
530,295,City Of Boulder Council Candidates,Andrew Shoemaker,123,,2181007812
530,295,City Of Boulder Council Candidates,Sam Weaver,118,,2181007812
368,163,City Of Boulder Council Candidates,Mary Young,100,,2181007813
368,163,City Of Boulder Council Candidates,John Gerstle,38,,2181007813
368,163,City Of Boulder Council Candidates,Matthew Appelbaum,88,,2181007813
368,163,City Of Boulder Council Candidates,Kevin Hotaling,18,,2181007813
368,163,City Of Boulder Council Candidates,Macon Cowles,74,,2181007813
368,163,City Of Boulder Council Candidates,Jonathan Dings,19,,2181007813
368,163,City Of Boulder Council Candidates,Ed Byrne,28,,2181007813
368,163,City Of Boulder Council Candidates,Micah Parkin,78,,2181007813
368,163,City Of Boulder Council Candidates,Greatful Fred Smith,28,,2181007813
368,163,City Of Boulder Council Candidates,Andrew Shoemaker,49,,2181007813
368,163,City Of Boulder Council Candidates,Sam Weaver,79,,2181007813
1045,599,City Of Boulder Council Candidates,Mary Young,303,,2181007814
