Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes,Party,Precinct Name
1377,1149,Representative to the United States Congress - District 2,Joe Neguse,723,DEM,2163307100
1377,1149,Representative to the United States Congress - District 2,Peter Yu,337,REP,2163307100
1377,1149,Representative to the United States Congress - District 2,Roger Barris,21,LBR,2163307100
1377,1149,Representative to the United States Congress - District 2,Nick Thomas,38,IND,2163307100
1377,1149,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307100
1266,1085,Representative to the United States Congress - District 2,Joe Neguse,701,DEM,2163307101
1266,1085,Representative to the United States Congress - District 2,Peter Yu,286,REP,2163307101
1266,1085,Representative to the United States Congress - District 2,Roger Barris,28,LBR,2163307101
1266,1085,Representative to the United States Congress - District 2,Nick Thomas,39,IND,2163307101
1266,1085,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307101
1081,734,Representative to the United States Congress - District 2,Joe Neguse,503,DEM,2163307102
1081,734,Representative to the United States Congress - District 2,Peter Yu,151,REP,2163307102
1081,734,Representative to the United States Congress - District 2,Roger Barris,22,LBR,2163307102
1081,734,Representative to the United States Congress - District 2,Nick Thomas,38,IND,2163307102
1081,734,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307102
1147,968,Representative to the United States Congress - District 2,Joe Neguse,598,DEM,2163307103
1147,968,Representative to the United States Congress - District 2,Peter Yu,277,REP,2163307103
1147,968,Representative to the United States Congress - District 2,Roger Barris,25,LBR,2163307103
1147,968,Representative to the United States Congress - District 2,Nick Thomas,39,IND,2163307103
1147,968,Representative to the United States Congress - District 2,Kevin Alumbaugh,1,,2163307103
1112,944,Representative to the United States Congress - District 2,Joe Neguse,613,DEM,2163307104
1112,944,Representative to the United States Congress - District 2,Peter Yu,261,REP,2163307104
1112,944,Representative to the United States Congress - District 2,Roger Barris,23,LBR,2163307104
1112,944,Representative to the United States Congress - District 2,Nick Thomas,24,IND,2163307104
1112,944,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307104
482,384,Representative to the United States Congress - District 2,Joe Neguse,265,DEM,2163307105
482,384,Representative to the United States Congress - District 2,Peter Yu,80,REP,2163307105
482,384,Representative to the United States Congress - District 2,Roger Barris,14,LBR,2163307105
482,384,Representative to the United States Congress - District 2,Nick Thomas,16,IND,2163307105
482,384,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307105
1034,874,Representative to the United States Congress - District 2,Joe Neguse,628,DEM,2163307106
1034,874,Representative to the United States Congress - District 2,Peter Yu,180,REP,2163307106
1034,874,Representative to the United States Congress - District 2,Roger Barris,21,LBR,2163307106
1034,874,Representative to the United States Congress - District 2,Nick Thomas,22,IND,2163307106
1034,874,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307106
807,646,Representative to the United States Congress - District 2,Joe Neguse,470,DEM,2163307107
807,646,Representative to the United States Congress - District 2,Peter Yu,143,REP,2163307107
807,646,Representative to the United States Congress - District 2,Roger Barris,5,LBR,2163307107
807,646,Representative to the United States Congress - District 2,Nick Thomas,16,IND,2163307107
807,646,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2163307107
635,541,Representative to the United States Congress - District 2,Joe Neguse,362,DEM,2171207200
635,541,Representative to the United States Congress - District 2,Peter Yu,144,REP,2171207200
635,541,Representative to the United States Congress - District 2,Roger Barris,8,LBR,2171207200
635,541,Representative to the United States Congress - District 2,Nick Thomas,13,IND,2171207200
635,541,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2171207200
658,575,Representative to the United States Congress - District 2,Joe Neguse,419,DEM,2171207201
658,575,Representative to the United States Congress - District 2,Peter Yu,108,REP,2171207201
658,575,Representative to the United States Congress - District 2,Roger Barris,10,LBR,2171207201
658,575,Representative to the United States Congress - District 2,Nick Thomas,25,IND,2171207201
658,575,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2171207201
1116,926,Representative to the United States Congress - District 2,Joe Neguse,631,DEM,2171207202
1116,926,Representative to the United States Congress - District 2,Peter Yu,230,REP,2171207202
1116,926,Representative to the United States Congress - District 2,Roger Barris,12,LBR,2171207202
1116,926,Representative to the United States Congress - District 2,Nick Thomas,32,IND,2171207202
1116,926,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2171207202
1005,892,Representative to the United States Congress - District 2,Joe Neguse,656,DEM,2171207203
1005,892,Representative to the United States Congress - District 2,Peter Yu,164,REP,2171207203
1005,892,Representative to the United States Congress - District 2,Roger Barris,21,LBR,2171207203
1005,892,Representative to the United States Congress - District 2,Nick Thomas,33,IND,2171207203
1005,892,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2171207203
963,831,Representative to the United States Congress - District 2,Joe Neguse,613,DEM,2171207204
963,831,Representative to the United States Congress - District 2,Peter Yu,164,REP,2171207204
963,831,Representative to the United States Congress - District 2,Roger Barris,10,LBR,2171207204
963,831,Representative to the United States Congress - District 2,Nick Thomas,26,IND,2171207204
963,831,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2171207204
965,831,Representative to the United States Congress - District 2,Joe Neguse,632,DEM,2171207205
965,831,Representative to the United States Congress - District 2,Peter Yu,135,REP,2171207205
965,831,Representative to the United States Congress - District 2,Roger Barris,17,LBR,2171207205
965,831,Representative to the United States Congress - District 2,Nick Thomas,26,IND,2171207205
965,831,Representative to the United States Congress - District 2,Kevin Alumbaugh,0,,2171207205
549,502,Representative to the United States Congress - District 2,Joe Neguse,394,DEM,2171207206
549,502,Representative to the United States Congress - District 2,Peter Yu,81,REP,2171207206
549,502,Representative to the United States Congress - District 2,Roger Barris,4,LBR,2171207206
