Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes,Party,Precinct Name
289,157,City of Boulder Council Candidates,   Mark Gelband,27,,073
330,200,City of Boulder Council Candidates,   Mark Gelband,32,,076
180,84,City of Boulder Council Candidates,   Mark Gelband,11,,077
397,220,City of Boulder Council Candidates,   Mark Gelband,37,,079
3,0,City of Boulder Council Candidates,   Mark Gelband,0,,080
449,252,City of Boulder Council Candidates,   Mark Gelband,38,,084
611,183,City of Boulder Council Candidates,   Mark Gelband,18,,085
901,443,City of Boulder Council Candidates,   Mark Gelband,49,,086
741,284,City of Boulder Council Candidates,   Mark Gelband,43,,087
953,341,City of Boulder Council Candidates,   Mark Gelband,35,,088
893,480,City of Boulder Council Candidates,   Mark Gelband,66,,089
322,125,City of Boulder Council Candidates,   Mark Gelband,23,,090
0,0,City of Boulder Council Candidates,   Mark Gelband,0,,091
702,399,City of Boulder Council Candidates,   Mark Gelband,38,,092
852,399,City of Boulder Council Candidates,   Mark Gelband,37,,093
647,275,City of Boulder Council Candidates,   Mark Gelband,40,,094
689,300,City of Boulder Council Candidates,   Mark Gelband,40,,095
544,192,City of Boulder Council Candidates,   Mark Gelband,24,,096
574,176,City of Boulder Council Candidates,   Mark Gelband,21,,097
549,170,City of Boulder Council Candidates,   Mark Gelband,20,,098
464,115,City of Boulder Council Candidates,   Mark Gelband,14,,099
501,88,City of Boulder Council Candidates,   Mark Gelband,15,,100
301,101,City of Boulder Council Candidates,   Mark Gelband,8,,101
523,52,City of Boulder Council Candidates,   Mark Gelband,13,,102
257,34,City of Boulder Council Candidates,   Mark Gelband,6,,103
538,122,City of Boulder Council Candidates,   Mark Gelband,21,,104
611,227,City of Boulder Council Candidates,   Mark Gelband,39,,105
428,81,City of Boulder Council Candidates,   Mark Gelband,8,,106
365,87,City of Boulder Council Candidates,   Mark Gelband,15,,107
659,261,City of Boulder Council Candidates,   Mark Gelband,35,,108
493,226,City of Boulder Council Candidates,   Mark Gelband,36,,109
591,325,City of Boulder Council Candidates,   Mark Gelband,46,,110
560,370,City of Boulder Council Candidates,   Mark Gelband,50,,111
521,268,City of Boulder Council Candidates,   Mark Gelband,28,,112
640,404,City of Boulder Council Candidates,   Mark Gelband,66,,113
995,638,City of Boulder Council Candidates,   Mark Gelband,97,,114
632,401,City of Boulder Council Candidates,   Mark Gelband,57,,115
0,0,City of Boulder Council Candidates,   Mark Gelband,0,,116
528,54,City of Boulder Council Candidates,   Mark Gelband,14,,118
601,435,City of Boulder Council Candidates,   Mark Gelband,74,,119
903,544,City of Boulder Council Candidates,   Mark Gelband,48,,120
651,293,City of Boulder Council Candidates,   Mark Gelband,49,,121
845,378,City of Boulder Council Candidates,   Mark Gelband,46,,122
456,272,City of Boulder Council Candidates,   Mark Gelband,43,,123
511,292,City of Boulder Council Candidates,   Mark Gelband,27,,125
932,531,City of Boulder Council Candidates,   Mark Gelband,61,,126
790,451,City of Boulder Council Candidates,   Mark Gelband,57,,127
919,513,City of Boulder Council Candidates,   Mark Gelband,41,,128
908,539,City of Boulder Council Candidates,   Mark Gelband,89,,129
769,510,City of Boulder Council Candidates,   Mark Gelband,59,,130
932,425,City of Boulder Council Candidates,   Mark Gelband,63,,131
692,414,City of Boulder Council Candidates,   Mark Gelband,51,,132
543,310,City of Boulder Council Candidates,   Mark Gelband,48,,133
762,461,City of Boulder Council Candidates,   Mark Gelband,53,,134
490,289,City of Boulder Council Candidates,   Mark Gelband,40,,135
640,415,City of Boulder Council Candidates,   Mark Gelband,58,,136
710,353,City of Boulder Council Candidates,   Mark Gelband,34,,137
537,177,City of Boulder Council Candidates,   Mark Gelband,31,,138
599,358,City of Boulder Council Candidates,   Mark Gelband,27,,139
884,460,City of Boulder Council Candidates,   Mark Gelband,82,,142
1367,611,City of Boulder Council Candidates,   Mark Gelband,91,,143
1089,702,City of Boulder Council Candidates,   Mark Gelband,67,,144
430,214,City of Boulder Council Candidates,   Mark Gelband,19,,145
486,185,City of Boulder Council Candidates,   Mark Gelband,32,,146
505,216,City of Boulder Council Candidates,   Mark Gelband,29,,147
337,27,City of Boulder Council Candidates,   Mark Gelband,5,,148
598,324,City of Boulder Council Candidates,   Mark Gelband,45,,149
344,30,City of Boulder Council Candidates,   Mark Gelband,7,,150
936,533,City of Boulder Council Candidates,   Mark Gelband,78,,151
427,58,City of Boulder Council Candidates,   Mark Gelband,10,,152
505,116,City of Boulder Council Candidates,   Mark Gelband,26,,153
410,269,City of Boulder Council Candidates,   Mark Gelband,22,,154
506,318,City of Boulder Council Candidates,   Mark Gelband,35,,155
628,272,City of Boulder Council Candidates,   Mark Gelband,44,,156
703,372,City of Boulder Council Candidates,   Mark Gelband,56,,157
510,219,City of Boulder Council Candidates,   Mark Gelband,34,,158
821,566,City of Boulder Council Candidates,   Mark Gelband,50,,159
611,301,City of Boulder Council Candidates,   Mark Gelband,39,,160
715,457,City of Boulder Council Candidates,   Mark Gelband,52,,161
765,500,City of Boulder Council Candidates,   Mark Gelband,56,,162
593,380,City of Boulder Council Candidates,   Mark Gelband,50,,163
586,220,City of Boulder Council Candidates,   Mark Gelband,33,,164
505,206,City of Boulder Council Candidates,   Mark Gelband,32,,165
488,253,City of Boulder Council Candidates,   Mark Gelband,45,,166
621,242,City of Boulder Council Candidates,   Mark Gelband,35,,167
599,377,City of Boulder Council Candidates,   Mark Gelband,52,,168
577,348,City of Boulder Council Candidates,   Mark Gelband,44,,169
625,401,City of Boulder Council Candidates,   Mark Gelband,45,,170
759,473,City of Boulder Council Candidates,   Mark Gelband,75,,171
880,520,City of Boulder Council Candidates,   Mark Gelband,49,,172
573,337,City of Boulder Council Candidates,   Mark Gelband,46,,173
,,City of Boulder Council Candidates,   Mark Gelband,,,
289,157,City of Boulder Council Candidates,   Fenno Hoffman,42,,073
330,200,City of Boulder Council Candidates,   Fenno Hoffman,47,,076
180,84,City of Boulder Council Candidates,   Fenno Hoffman,12,,077
397,220,City of Boulder Council Candidates,   Fenno Hoffman,60,,079
3,0,City of Boulder Council Candidates,   Fenno Hoffman,0,,080
449,252,City of Boulder Council Candidates,   Fenno Hoffman,58,,084
611,183,City of Boulder Council Candidates,   Fenno Hoffman,26,,085
901,443,City of Boulder Council Candidates,   Fenno Hoffman,79,,086
741,284,City of Boulder Council Candidates,   Fenno Hoffman,51,,087
953,341,City of Boulder Council Candidates,   Fenno Hoffman,59,,088
893,480,City of Boulder Council Candidates,   Fenno Hoffman,116,,089
322,125,City of Boulder Council Candidates,   Fenno Hoffman,20,,090
0,0,City of Boulder Council Candidates,   Fenno Hoffman,0,,091
702,399,City of Boulder Council Candidates,   Fenno Hoffman,92,,092
852,399,City of Boulder Council Candidates,   Fenno Hoffman,120,,093
647,275,City of Boulder Council Candidates,   Fenno Hoffman,70,,094
