Precinct Name,Active Voters,Total Ballots,Contest Name,Choice Name,Party,Total Votes
2163307100,1291.0,1174,Presidential Electors,Hillary Clinton / Tim Kaine,Democratic,724
2163307100,1291.0,1174,Presidential Electors,Donald J. Trump / Michael R. Pence,Republican,327
2163307100,1291.0,1174,Presidential Electors,Darrell L. Castle / Scott N. Bradley,Constitution,2
2163307100,1291.0,1174,Presidential Electors,Gary Johnson / Bill Weld,Libertarian,63
2163307100,1291.0,1174,Presidential Electors,Jill Stein / Ajamu Baraka,Green,18
2163307100,1291.0,1174,Presidential Electors,Frank Atwood / Blake Huber,Approval Voting,0
2163307100,1291.0,1174,Presidential Electors,Rocky Roque De La Fuente / Michael Steinberg,American Delta,0
2163307100,1291.0,1174,Presidential Electors,James Hedges / Bill Bayes,Prohibition,0
2163307100,1291.0,1174,Presidential Electors,Tom Hoefling / Steve Schulin,America's,0
2163307100,1291.0,1174,Presidential Electors,Chris Keniston / Deacon Taylor,Veterans of America,0
2163307100,1291.0,1174,Presidential Electors,Alyson Kennedy / Osborne Hart,Socialist Workers,0
2163307100,1291.0,1174,Presidential Electors,Kyle Kenley Kopitke / Nathan R. Sorenson,Independent American,0
2163307100,1291.0,1174,Presidential Electors,Laurence Kotlikoff / Edward Leamer,Kotlikoff for President,2
2163307100,1291.0,1174,Presidential Electors,Gloria Estela La Riva / Dennis J. Banks,Socialism and Liberation,0
2163307100,1291.0,1174,Presidential Electors,Bradford Lyttle / Hannah Walsh,Nonviolent Resistance/Pacifist,0
2163307100,1291.0,1174,Presidential Electors,Joseph Allen Maldonado / Douglas K. Terranova,Independent People,0
2163307100,1291.0,1174,Presidential Electors,Michael A. Maturen / Juan Munoz,American Solidarity,2
2163307100,1291.0,1174,Presidential Electors,Evan McMullin / Nathan Johnson,Independent,8
2163307100,1291.0,1174,Presidential Electors,Ryan Alan Scott / Bruce Kendall Barnard,Independent,0
2163307100,1291.0,1174,Presidential Electors,Rod Silva / Richard C. Silva,Nutrition,1
2163307100,1291.0,1174,Presidential Electors,Mike Smith / Daniel White,Independent,0
2163307100,1291.0,1174,Presidential Electors,Emidio Soltysik / Angela Nicole Walker,Socialist USA,0
