Precinct Name,Active Voters,Total Ballots,Contest Name,Choice Name,Party,Total Votes
2163307100,1547,1399,Presidential Electors,Joseph R. Biden / Kamala D. Harris,Democratic,997
2163307100,1547,1399,Presidential Electors,Donald J. Trump / Michael R. Pence,Republican,355
2163307100,1547,1399,Presidential Electors,Don Blankenship / William Mohr,Constitution,1
2163307100,1547,1399,Presidential Electors,Bill Hammons / Eric Bodenstab,Unity,1
2163307100,1547,1399,Presidential Electors,Howie Hawkins / Angela Nicole Walker,Green,1
2163307100,1547,1399,Presidential Electors,Blake Huber / Frank Atwood,Approval,0
2163307100,1547,1399,Presidential Electors,"Jo Jorgensen / Jeremy ""Spike"" Cohen",Libertarian,19
2163307100,1547,1399,Presidential Electors,Brian Carroll / Amar Patel,,0
2163307100,1547,1399,Presidential Electors,Mark Charles / Adrian Wallace,Unaffiliated,0
2163307100,1547,1399,Presidential Electors,Phil Collins / Billy Joe Parker,,0
2163307100,1547,1399,Presidential Electors,"Roque ""Rocky"" De La Fuente / Darcy G. Richardson",,0
2163307100,1547,1399,Presidential Electors,Dario Hunter / Dawn Neptune Adams,,0
2163307100,1547,1399,Presidential Electors,Princess Khadijah Maryam Jacob-Fambro / Khadijah Maryam Jacob Sr.,Unaffiliated,0
2163307100,1547,1399,Presidential Electors,Alyson Kennedy / Malcolm Jarrett,,0
2163307100,1547,1399,Presidential Electors,Joseph Kishore / Norissa Santa Cruz,,0
2163307100,1547,1399,Presidential Electors,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,,1
2163307100,1547,1399,Presidential Electors,Gloria La Riva / Sunil Freeman,,0
2163307100,1547,1399,Presidential Electors,Joe McHugh / Elizabeth Storm,Unaffiliated,0
2163307100,1547,1399,Presidential Electors,Brock Pierce / Karla Ballard,Unaffiliated,0
2163307100,1547,1399,Presidential Electors,"Jordan ""Cancer"" Scott / Jennifer Tepool",Unaffiliated,0
2163307100,1547,1399,Presidential Electors,Kanye West / Michelle Tidball,Unaffiliated,1
2163307100,1547,1399,Presidential Electors,Kasey Wells / Rachel Wells (Write-in),,0
2163307100,1547,1399,Presidential Electors,Todd Cella / Timothy Bryan Cella (Write-in),,0
2163307100,1547,1399,Presidential Electors,Tom Hoefling / Andy Prior (Write-in),,0
2163307101,1385,1296,Presidential Electors,Joseph R. Biden / Kamala D. Harris,Democratic,964
2163307101,1385,1296,Presidential Electors,Donald J. Trump / Michael R. Pence,Republican,290
2163307101,1385,1296,Presidential Electors,Don Blankenship / William Mohr,Constitution,0
2163307101,1385,1296,Presidential Electors,Bill Hammons / Eric Bodenstab,Unity,2
2163307101,1385,1296,Presidential Electors,Howie Hawkins / Angela Nicole Walker,Green,2
