Active Voters,Total Ballots,Contest Name,Choice Name,Total Votes,Party,Precinct Name
255,207,City of Boulder Council Candidates,Cindy Carlisle,78,,2181007804
255,207,City of Boulder Council Candidates,Suzanne Jones,82,,2181007804
255,207,City of Boulder Council Candidates,Michael Kruteck,72,,2181007804
255,207,City of Boulder Council Candidates,Comrade Keith Percy,2,,2181007804
255,207,City of Boulder Council Candidates,Jyotsna Raj,47,,2181007804
255,207,City of Boulder Council Candidates,Jan Burton,56,,2181007804
255,207,City of Boulder Council Candidates,Don Cote,56,,2181007804
255,510,City of Boulder Council Candidates,Jared Kaszuba,27,,2181007806
255,510,City of Boulder Council Candidates,Lisa Morzel,186,,2181007806
255,510,City of Boulder Council Candidates,Leonard May,107,,2181007806
255,510,City of Boulder Council Candidates,Edward Jabari,36,,2181007806
255,510,City of Boulder Council Candidates,Cha Cha Spinrad,16,,2181007806
255,510,City of Boulder Council Candidates,Bob Yates,209,,2181007806
255,510,City of Boulder Council Candidates,Aaron Brockett,199,,2181007806
255,510,City of Boulder Council Candidates,Julianne McCabe,60,,2181007806
255,510,City of Boulder Council Candidates,Bill Rigler,99,,2181007806
255,510,City of Boulder Council Candidates,Tim Plass,142,,2181007806
255,510,City of Boulder Council Candidates,Cindy Carlisle,141,,2181007806
255,510,City of Boulder Council Candidates,Suzanne Jones,177,,2181007806
255,510,City of Boulder Council Candidates,Michael Kruteck,174,,2181007806
255,510,City of Boulder Council Candidates,Comrade Keith Percy,14,,2181007806
255,510,City of Boulder Council Candidates,Jyotsna Raj,111,,2181007806
255,510,City of Boulder Council Candidates,Jan Burton,171,,2181007806
255,510,City of Boulder Council Candidates,Don Cote,99,,2181007806
255,616,City of Boulder Council Candidates,Jared Kaszuba,22,,2181007807
255,616,City of Boulder Council Candidates,Lisa Morzel,223,,2181007807
255,616,City of Boulder Council Candidates,Leonard May,141,,2181007807
255,616,City of Boulder Council Candidates,Edward Jabari,30,,2181007807
255,616,City of Boulder Council Candidates,Cha Cha Spinrad,34,,2181007807
255,616,City of Boulder Council Candidates,Bob Yates,265,,2181007807
255,616,City of Boulder Council Candidates,Aaron Brockett,246,,2181007807
255,616,City of Boulder Council Candidates,Julianne McCabe,88,,2181007807
255,616,City of Boulder Council Candidates,Bill Rigler,128,,2181007807
255,616,City of Boulder Council Candidates,Tim Plass,172,,2181007807
255,616,City of Boulder Council Candidates,Cindy Carlisle,176,,2181007807
255,616,City of Boulder Council Candidates,Suzanne Jones,228,,2181007807
255,616,City of Boulder Council Candidates,Michael Kruteck,207,,2181007807
255,616,City of Boulder Council Candidates,Comrade Keith Percy,8,,2181007807
255,616,City of Boulder Council Candidates,Jyotsna Raj,125,,2181007807
255,616,City of Boulder Council Candidates,Jan Burton,213,,2181007807
255,616,City of Boulder Council Candidates,Don Cote,144,,2181007807
255,770,City of Boulder Council Candidates,Jared Kaszuba,34,,2181007808
255,770,City of Boulder Council Candidates,Lisa Morzel,340,,2181007808
255,770,City of Boulder Council Candidates,Leonard May,177,,2181007808
255,770,City of Boulder Council Candidates,Edward Jabari,45,,2181007808
255,770,City of Boulder Council Candidates,Cha Cha Spinrad,76,,2181007808
255,770,City of Boulder Council Candidates,Bob Yates,301,,2181007808
255,770,City of Boulder Council Candidates,Aaron Brockett,333,,2181007808
255,770,City of Boulder Council Candidates,Julianne McCabe,69,,2181007808
255,770,City of Boulder Council Candidates,Bill Rigler,199,,2181007808
255,770,City of Boulder Council Candidates,Tim Plass,226,,2181007808
255,770,City of Boulder Council Candidates,Cindy Carlisle,221,,2181007808
255,770,City of Boulder Council Candidates,Suzanne Jones,371,,2181007808
255,770,City of Boulder Council Candidates,Michael Kruteck,159,,2181007808
255,770,City of Boulder Council Candidates,Comrade Keith Percy,21,,2181007808
255,770,City of Boulder Council Candidates,Jyotsna Raj,128,,2181007808
255,770,City of Boulder Council Candidates,Jan Burton,191,,2181007808
255,770,City of Boulder Council Candidates,Don Cote,77,,2181007808
255,573,City of Boulder Council Candidates,Jared Kaszuba,11,,2181007809
255,573,City of Boulder Council Candidates,Lisa Morzel,253,,2181007809
255,573,City of Boulder Council Candidates,Leonard May,116,,2181007809
255,573,City of Boulder Council Candidates,Edward Jabari,36,,2181007809
255,573,City of Boulder Council Candidates,Cha Cha Spinrad,22,,2181007809
255,573,City of Boulder Council Candidates,Bob Yates,286,,2181007809
255,573,City of Boulder Council Candidates,Aaron Brockett,233,,2181007809
255,573,City of Boulder Council Candidates,Julianne McCabe,58,,2181007809
255,573,City of Boulder Council Candidates,Bill Rigler,136,,2181007809
255,573,City of Boulder Council Candidates,Tim Plass,194,,2181007809
255,573,City of Boulder Council Candidates,Cindy Carlisle,159,,2181007809
255,573,City of Boulder Council Candidates,Suzanne Jones,255,,2181007809
255,573,City of Boulder Council Candidates,Michael Kruteck,183,,2181007809
255,573,City of Boulder Council Candidates,Comrade Keith Percy,9,,2181007809
255,573,City of Boulder Council Candidates,Jyotsna Raj,101,,2181007809
255,573,City of Boulder Council Candidates,Jan Burton,200,,2181007809
255,573,City of Boulder Council Candidates,Don Cote,88,,2181007809
255,520,City of Boulder Council Candidates,Jared Kaszuba,14,,2181007810
255,520,City of Boulder Council Candidates,Lisa Morzel,211,,2181007810
255,520,City of Boulder Council Candidates,Leonard May,97,,2181007810
255,520,City of Boulder Council Candidates,Edward Jabari,30,,2181007810
255,520,City of Boulder Council Candidates,Cha Cha Spinrad,13,,2181007810
255,520,City of Boulder Council Candidates,Bob Yates,223,,2181007810
255,520,City of Boulder Council Candidates,Aaron Brockett,179,,2181007810
255,520,City of Boulder Council Candidates,Julianne McCabe,88,,2181007810
255,520,City of Boulder Council Candidates,Bill Rigler,88,,2181007810
255,520,City of Boulder Council Candidates,Tim Plass,127,,2181007810
255,520,City of Boulder Council Candidates,Cindy Carlisle,153,,2181007810
255,520,City of Boulder Council Candidates,Suzanne Jones,190,,2181007810
255,520,City of Boulder Council Candidates,Michael Kruteck,208,,2181007810
255,520,City of Boulder Council Candidates,Comrade Keith Percy,11,,2181007810
255,520,City of Boulder Council Candidates,Jyotsna Raj,94,,2181007810
255,520,City of Boulder Council Candidates,Jan Burton,194,,2181007810
255,520,City of Boulder Council Candidates,Don Cote,114,,2181007810
255,378,City of Boulder Council Candidates,Jared Kaszuba,9,,2181007811
255,378,City of Boulder Council Candidates,Lisa Morzel,111,,2181007811
255,378,City of Boulder Council Candidates,Leonard May,56,,2181007811
255,378,City of Boulder Council Candidates,Edward Jabari,21,,2181007811
255,378,City of Boulder Council Candidates,Cha Cha Spinrad,8,,2181007811
255,378,City of Boulder Council Candidates,Bob Yates,161,,2181007811
255,378,City of Boulder Council Candidates,Aaron Brockett,127,,2181007811
255,378,City of Boulder Council Candidates,Julianne McCabe,45,,2181007811
255,378,City of Boulder Council Candidates,Bill Rigler,75,,2181007811
255,378,City of Boulder Council Candidates,Tim Plass,101,,2181007811
255,378,City of Boulder Council Candidates,Cindy Carlisle,91,,2181007811
255,378,City of Boulder Council Candidates,Suzanne Jones,104,,2181007811
255,378,City of Boulder Council Candidates,Michael Kruteck,131,,2181007811
255,378,City of Boulder Council Candidates,Comrade Keith Percy,1,,2181007811
255,378,City of Boulder Council Candidates,Jyotsna Raj,74,,2181007811
255,378,City of Boulder Council Candidates,Jan Burton,141,,2181007811
255,378,City of Boulder Council Candidates,Don Cote,96,,2181007811
255,306,City of Boulder Council Candidates,Jared Kaszuba,10,,2181007812
255,306,City of Boulder Council Candidates,Lisa Morzel,102,,2181007812
255,306,City of Boulder Council Candidates,Leonard May,70,,2181007812
255,306,City of Boulder Council Candidates,Edward Jabari,15,,2181007812
255,306,City of Boulder Council Candidates,Cha Cha Spinrad,16,,2181007812
255,306,City of Boulder Council Candidates,Bob Yates,121,,2181007812
255,306,City of Boulder Council Candidates,Aaron Brockett,97,,2181007812
255,306,City of Boulder Council Candidates,Julianne McCabe,37,,2181007812
255,306,City of Boulder Council Candidates,Bill Rigler,45,,2181007812
255,306,City of Boulder Council Candidates,Tim Plass,61,,2181007812
255,306,City of Boulder Council Candidates,Cindy Carlisle,85,,2181007812
255,306,City of Boulder Council Candidates,Suzanne Jones,93,,2181007812
255,306,City of Boulder Council Candidates,Michael Kruteck,93,,2181007812
255,306,City of Boulder Council Candidates,Comrade Keith Percy,3,,2181007812
255,306,City of Boulder Council Candidates,Jyotsna Raj,68,,2181007812
255,306,City of Boulder Council Candidates,Jan Burton,93,,2181007812
255,306,City of Boulder Council Candidates,Don Cote,56,,2181007812
255,153,City of Boulder Council Candidates,Jared Kaszuba,9,,2181007813
255,153,City of Boulder Council Candidates,Lisa Morzel,107,,2181007813
255,153,City of Boulder Council Candidates,Leonard May,50,,2181007813
255,153,City of Boulder Council Candidates,Edward Jabari,14,,2181007813
255,153,City of Boulder Council Candidates,Cha Cha Spinrad,11,,2181007813
255,153,City of Boulder Council Candidates,Bob Yates,52,,2181007813
255,153,City of Boulder Council Candidates,Aaron Brockett,29,,2181007813
255,153,City of Boulder Council Candidates,Julianne McCabe,14,,2181007813
255,153,City of Boulder Council Candidates,Bill Rigler,28,,2181007813
255,153,City of Boulder Council Candidates,Tim Plass,37,,2181007813
255,153,City of Boulder Council Candidates,Cindy Carlisle,69,,2181007813
255,153,City of Boulder Council Candidates,Suzanne Jones,74,,2181007813
255,153,City of Boulder Council Candidates,Michael Kruteck,35,,2181007813
255,153,City of Boulder Council Candidates,Comrade Keith Percy,5,,2181007813
255,153,City of Boulder Council Candidates,Jyotsna Raj,46,,2181007813
255,153,City of Boulder Council Candidates,Jan Burton,28,,2181007813
255,153,City of Boulder Council Candidates,Don Cote,12,,2181007813
255,528,City of Boulder Council Candidates,Jared Kaszuba,31,,2181007814
255,528,City of Boulder Council Candidates,Lisa Morzel,182,,2181007814
255,528,City of Boulder Council Candidates,Leonard May,131,,2181007814
255,528,City of Boulder Council Candidates,Edward Jabari,36,,2181007814
255,528,City of Boulder Council Candidates,Cha Cha Spinrad,29,,2181007814
255,528,City of Boulder Council Candidates,Bob Yates,204,,2181007814
255,528,City of Boulder Council Candidates,Aaron Brockett,175,,2181007814
255,528,City of Boulder Council Candidates,Julianne McCabe,65,,2181007814
255,528,City of Boulder Council Candidates,Bill Rigler,117,,2181007814
255,528,City of Boulder Council Candidates,Tim Plass,142,,2181007814
255,528,City of Boulder Council Candidates,Cindy Carlisle,160,,2181007814
255,528,City of Boulder Council Candidates,Suzanne Jones,235,,2181007814
255,528,City of Boulder Council Candidates,Michael Kruteck,131,,2181007814
255,528,City of Boulder Council Candidates,Comrade Keith Percy,20,,2181007814
255,528,City of Boulder Council Candidates,Jyotsna Raj,102,,2181007814
255,528,City of Boulder Council Candidates,Jan Burton,146,,2181007814
255,528,City of Boulder Council Candidates,Don Cote,122,,2181007814
255,252,City of Boulder Council Candidates,Jared Kaszuba,22,,2181007815
255,252,City of Boulder Council Candidates,Lisa Morzel,113,,2181007815
255,252,City of Boulder Council Candidates,Leonard May,56,,2181007815
255,252,City of Boulder Council Candidates,Edward Jabari,18,,2181007815
255,252,City of Boulder Council Candidates,Cha Cha Spinrad,23,,2181007815
255,252,City of Boulder Council Candidates,Bob Yates,106,,2181007815
255,252,City of Boulder Council Candidates,Aaron Brockett,77,,2181007815
255,252,City of Boulder Council Candidates,Julianne McCabe,27,,2181007815
255,252,City of Boulder Council Candidates,Bill Rigler,50,,2181007815
255,252,City of Boulder Council Candidates,Tim Plass,77,,2181007815
255,252,City of Boulder Council Candidates,Cindy Carlisle,74,,2181007815
255,252,City of Boulder Council Candidates,Suzanne Jones,126,,2181007815
255,252,City of Boulder Council Candidates,Michael Kruteck,51,,2181007815
255,252,City of Boulder Council Candidates,Comrade Keith Percy,17,,2181007815
255,252,City of Boulder Council Candidates,Jyotsna Raj,52,,2181007815
255,252,City of Boulder Council Candidates,Jan Burton,57,,2181007815
255,252,City of Boulder Council Candidates,Don Cote,32,,2181007815
255,447,City of Boulder Council Candidates,Jared Kaszuba,28,,2181007816
255,447,City of Boulder Council Candidates,Lisa Morzel,170,,2181007816
255,447,City of Boulder Council Candidates,Leonard May,95,,2181007816
255,447,City of Boulder Council Candidates,Edward Jabari,27,,2181007816
255,447,City of Boulder Council Candidates,Cha Cha Spinrad,46,,2181007816
255,447,City of Boulder Council Candidates,Bob Yates,180,,2181007816
255,447,City of Boulder Council Candidates,Aaron Brockett,148,,2181007816
255,447,City of Boulder Council Candidates,Julianne McCabe,50,,2181007816
255,447,City of Boulder Council Candidates,Bill Rigler,86,,2181007816
255,447,City of Boulder Council Candidates,Tim Plass,128,,2181007816
255,447,City of Boulder Council Candidates,Cindy Carlisle,134,,2181007816
255,447,City of Boulder Council Candidates,Suzanne Jones,173,,2181007816
255,447,City of Boulder Council Candidates,Michael Kruteck,132,,2181007816
255,447,City of Boulder Council Candidates,Comrade Keith Percy,29,,2181007816
255,447,City of Boulder Council Candidates,Jyotsna Raj,93,,2181007816
255,447,City of Boulder Council Candidates,Jan Burton,132,,2181007816
255,447,City of Boulder Council Candidates,Don Cote,71,,2181007816
255,507,City of Boulder Council Candidates,Jared Kaszuba,13,,2181007817
255,507,City of Boulder Council Candidates,Lisa Morzel,148,,2181007817
255,507,City of Boulder Council Candidates,Leonard May,83,,2181007817
255,507,City of Boulder Council Candidates,Edward Jabari,30,,2181007817
255,507,City of Boulder Council Candidates,Cha Cha Spinrad,21,,2181007817
255,507,City of Boulder Council Candidates,Bob Yates,260,,2181007817
255,507,City of Boulder Council Candidates,Aaron Brockett,191,,2181007817
255,507,City of Boulder Council Candidates,Julianne McCabe,85,,2181007817
255,507,City of Boulder Council Candidates,Bill Rigler,109,,2181007817
255,507,City of Boulder Council Candidates,Tim Plass,120,,2181007817
255,507,City of Boulder Council Candidates,Cindy Carlisle,118,,2181007817
255,507,City of Boulder Council Candidates,Suzanne Jones,150,,2181007817
255,507,City of Boulder Council Candidates,Michael Kruteck,218,,2181007817
255,507,City of Boulder Council Candidates,Comrade Keith Percy,4,,2181007817
255,507,City of Boulder Council Candidates,Jyotsna Raj,84,,2181007817
255,507,City of Boulder Council Candidates,Jan Burton,210,,2181007817
255,507,City of Boulder Council Candidates,Don Cote,154,,2181007817
255,608,City of Boulder Council Candidates,Jared Kaszuba,40,,2181007818
255,608,City of Boulder Council Candidates,Lisa Morzel,220,,2181007818
255,608,City of Boulder Council Candidates,Leonard May,126,,2181007818
255,608,City of Boulder Council Candidates,Edward Jabari,35,,2181007818
255,608,City of Boulder Council Candidates,Cha Cha Spinrad,41,,2181007818
255,608,City of Boulder Council Candidates,Bob Yates,340,,2181007818
255,608,City of Boulder Council Candidates,Aaron Brockett,212,,2181007818
255,608,City of Boulder Council Candidates,Julianne McCabe,63,,2181007818
255,608,City of Boulder Council Candidates,Bill Rigler,127,,2181007818
255,608,City of Boulder Council Candidates,Tim Plass,139,,2181007818
255,608,City of Boulder Council Candidates,Cindy Carlisle,188,,2181007818
255,608,City of Boulder Council Candidates,Suzanne Jones,212,,2181007818
255,608,City of Boulder Council Candidates,Michael Kruteck,197,,2181007818
255,608,City of Boulder Council Candidates,Comrade Keith Percy,18,,2181007818
255,608,City of Boulder Council Candidates,Jyotsna Raj,123,,2181007818
255,608,City of Boulder Council Candidates,Jan Burton,186,,2181007818
255,608,City of Boulder Council Candidates,Don Cote,119,,2181007818
255,485,City of Boulder Council Candidates,Jared Kaszuba,24,,2181007819
255,485,City of Boulder Council Candidates,Lisa Morzel,207,,2181007819
255,485,City of Boulder Council Candidates,Leonard May,120,,2181007819
255,485,City of Boulder Council Candidates,Edward Jabari,26,,2181007819
255,485,City of Boulder Council Candidates,Cha Cha Spinrad,30,,2181007819
255,485,City of Boulder Council Candidates,Bob Yates,234,,2181007819
255,485,City of Boulder Council Candidates,Aaron Brockett,177,,2181007819
255,485,City of Boulder Council Candidates,Julianne McCabe,57,,2181007819
255,485,City of Boulder Council Candidates,Bill Rigler,85,,2181007819
255,485,City of Boulder Council Candidates,Tim Plass,145,,2181007819
255,485,City of Boulder Council Candidates,Cindy Carlisle,149,,2181007819
255,485,City of Boulder Council Candidates,Suzanne Jones,210,,2181007819
255,485,City of Boulder Council Candidates,Michael Kruteck,151,,2181007819
255,485,City of Boulder Council Candidates,Comrade Keith Percy,8,,2181007819
255,485,City of Boulder Council Candidates,Jyotsna Raj,114,,2181007819
255,485,City of Boulder Council Candidates,Jan Burton,150,,2181007819
255,485,City of Boulder Council Candidates,Don Cote,83,,2181007819
255,428,City of Boulder Council Candidates,Jared Kaszuba,20,,2181007820
255,428,City of Boulder Council Candidates,Lisa Morzel,168,,2181007820
255,428,City of Boulder Council Candidates,Leonard May,92,,2181007820
255,428,City of Boulder Council Candidates,Edward Jabari,19,,2181007820
255,428,City of Boulder Council Candidates,Cha Cha Spinrad,29,,2181007820
255,428,City of Boulder Council Candidates,Bob Yates,188,,2181007820
255,428,City of Boulder Council Candidates,Aaron Brockett,163,,2181007820
255,428,City of Boulder Council Candidates,Julianne McCabe,49,,2181007820
255,428,City of Boulder Council Candidates,Bill Rigler,93,,2181007820
255,428,City of Boulder Council Candidates,Tim Plass,132,,2181007820
255,428,City of Boulder Council Candidates,Cindy Carlisle,137,,2181007820
255,428,City of Boulder Council Candidates,Suzanne Jones,185,,2181007820
255,428,City of Boulder Council Candidates,Michael Kruteck,144,,2181007820
255,428,City of Boulder Council Candidates,Comrade Keith Percy,16,,2181007820
255,428,City of Boulder Council Candidates,Jyotsna Raj,88,,2181007820
255,428,City of Boulder Council Candidates,Jan Burton,129,,2181007820
255,428,City of Boulder Council Candidates,Don Cote,82,,2181007820
255,462,City of Boulder Council Candidates,Jared Kaszuba,36,,2181007821
255,462,City of Boulder Council Candidates,Lisa Morzel,167,,2181007821
255,462,City of Boulder Council Candidates,Leonard May,106,,2181007821
255,462,City of Boulder Council Candidates,Edward Jabari,42,,2181007821
255,462,City of Boulder Council Candidates,Cha Cha Spinrad,43,,2181007821
255,462,City of Boulder Council Candidates,Bob Yates,206,,2181007821
255,462,City of Boulder Council Candidates,Aaron Brockett,144,,2181007821
255,462,City of Boulder Council Candidates,Julianne McCabe,50,,2181007821
255,462,City of Boulder Council Candidates,Bill Rigler,96,,2181007821
255,462,City of Boulder Council Candidates,Tim Plass,103,,2181007821
255,462,City of Boulder Council Candidates,Cindy Carlisle,147,,2181007821
255,462,City of Boulder Council Candidates,Suzanne Jones,188,,2181007821
255,462,City of Boulder Council Candidates,Michael Kruteck,114,,2181007821
255,462,City of Boulder Council Candidates,Comrade Keith Percy,17,,2181007821
255,462,City of Boulder Council Candidates,Jyotsna Raj,114,,2181007821
255,462,City of Boulder Council Candidates,Jan Burton,113,,2181007821
255,462,City of Boulder Council Candidates,Don Cote,56,,2181007821
255,291,City of Boulder Council Candidates,Jared Kaszuba,24,,2181007822
255,291,City of Boulder Council Candidates,Lisa Morzel,120,,2181007822
255,291,City of Boulder Council Candidates,Leonard May,49,,2181007822
255,291,City of Boulder Council Candidates,Edward Jabari,20,,2181007822
255,291,City of Boulder Council Candidates,Cha Cha Spinrad,18,,2181007822
255,291,City of Boulder Council Candidates,Bob Yates,112,,2181007822
255,291,City of Boulder Council Candidates,Aaron Brockett,84,,2181007822
255,291,City of Boulder Council Candidates,Julianne McCabe,28,,2181007822
255,291,City of Boulder Council Candidates,Bill Rigler,53,,2181007822
255,291,City of Boulder Council Candidates,Tim Plass,76,,2181007822
255,291,City of Boulder Council Candidates,Cindy Carlisle,81,,2181007822
255,291,City of Boulder Council Candidates,Suzanne Jones,120,,2181007822
255,291,City of Boulder Council Candidates,Michael Kruteck,60,,2181007822
255,291,City of Boulder Council Candidates,Comrade Keith Percy,9,,2181007822
255,291,City of Boulder Council Candidates,Jyotsna Raj,55,,2181007822
255,291,City of Boulder Council Candidates,Jan Burton,61,,2181007822
255,291,City of Boulder Council Candidates,Don Cote,42,,2181007822
255,550,City of Boulder Council Candidates,Jared Kaszuba,45,,2181007823
255,550,City of Boulder Council Candidates,Lisa Morzel,193,,2181007823
255,550,City of Boulder Council Candidates,Leonard May,101,,2181007823
255,550,City of Boulder Council Candidates,Edward Jabari,55,,2181007823
255,550,City of Boulder Council Candidates,Cha Cha Spinrad,70,,2181007823
255,550,City of Boulder Council Candidates,Bob Yates,202,,2181007823
255,550,City of Boulder Council Candidates,Aaron Brockett,185,,2181007823
255,550,City of Boulder Council Candidates,Julianne McCabe,56,,2181007823
255,550,City of Boulder Council Candidates,Bill Rigler,120,,2181007823
255,550,City of Boulder Council Candidates,Tim Plass,157,,2181007823
255,550,City of Boulder Council Candidates,Cindy Carlisle,133,,2181007823
255,550,City of Boulder Council Candidates,Suzanne Jones,222,,2181007823
255,550,City of Boulder Council Candidates,Michael Kruteck,107,,2181007823
255,550,City of Boulder Council Candidates,Comrade Keith Percy,28,,2181007823
255,550,City of Boulder Council Candidates,Jyotsna Raj,90,,2181007823
255,550,City of Boulder Council Candidates,Jan Burton,145,,2181007823
255,550,City of Boulder Council Candidates,Don Cote,54,,2181007823
990,515,City of Boulder Council Candidates,Jared Kaszuba,24,,2181007824
990,515,City of Boulder Council Candidates,Lisa Morzel,215,,2181007824
990,515,City of Boulder Council Candidates,Leonard May,153,,2181007824
990,515,City of Boulder Council Candidates,Edward Jabari,24,,2181007824
990,515,City of Boulder Council Candidates,Cha Cha Spinrad,47,,2181007824
990,515,City of Boulder Council Candidates,Bob Yates,209,,2181007824
990,515,City of Boulder Council Candidates,Aaron Brockett,160,,2181007824
990,515,City of Boulder Council Candidates,Julianne McCabe,56,,2181007824
990,515,City of Boulder Council Candidates,Bill Rigler,109,,2181007824
990,515,City of Boulder Council Candidates,Tim Plass,152,,2181007824
990,515,City of Boulder Council Candidates,Cindy Carlisle,177,,2181007824
990,515,City of Boulder Council Candidates,Suzanne Jones,196,,2181007824
990,515,City of Boulder Council Candidates,Michael Kruteck,131,,2181007824
990,515,City of Boulder Council Candidates,Comrade Keith Percy,16,,2181007824
990,515,City of Boulder Council Candidates,Jyotsna Raj,129,,2181007824
990,515,City of Boulder Council Candidates,Jan Burton,163,,2181007824
990,515,City of Boulder Council Candidates,Don Cote,80,,2181007824
560,341,City of Boulder Council Candidates,Jared Kaszuba,15,,2181007825
560,341,City of Boulder Council Candidates,Lisa Morzel,119,,2181007825
560,341,City of Boulder Council Candidates,Leonard May,82,,2181007825
560,341,City of Boulder Council Candidates,Edward Jabari,21,,2181007825
560,341,City of Boulder Council Candidates,Cha Cha Spinrad,26,,2181007825
560,341,City of Boulder Council Candidates,Bob Yates,138,,2181007825
560,341,City of Boulder Council Candidates,Aaron Brockett,137,,2181007825
560,341,City of Boulder Council Candidates,Julianne McCabe,41,,2181007825
560,341,City of Boulder Council Candidates,Bill Rigler,88,,2181007825
560,341,City of Boulder Council Candidates,Tim Plass,100,,2181007825
560,341,City of Boulder Council Candidates,Cindy Carlisle,100,,2181007825
560,341,City of Boulder Council Candidates,Suzanne Jones,117,,2181007825
560,341,City of Boulder Council Candidates,Michael Kruteck,118,,2181007825
560,341,City of Boulder Council Candidates,Comrade Keith Percy,9,,2181007825
560,341,City of Boulder Council Candidates,Jyotsna Raj,78,,2181007825
560,341,City of Boulder Council Candidates,Jan Burton,100,,2181007825
560,341,City of Boulder Council Candidates,Don Cote,60,,2181007825
744,418,City of Boulder Council Candidates,Jared Kaszuba,5,,2181007826
744,418,City of Boulder Council Candidates,Lisa Morzel,174,,2181007826
744,418,City of Boulder Council Candidates,Leonard May,126,,2181007826
744,418,City of Boulder Council Candidates,Edward Jabari,21,,2181007826
744,418,City of Boulder Council Candidates,Cha Cha Spinrad,31,,2181007826
